District,Block,CultLand,CropCultLand,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalUrea,MineralFertAppMethod,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,LandPreparationMethodFourWheelTracRotavator,LandPreparationMethodOther,LandPreparationMethodTractorPlough,LandPreparationMethodWetTillagePuddling,NursDetFactorIrrigWaterAvailability,NursDetFactorLabourAvailability,NursDetFactorPreMonsoonShowers,NursDetFactorSeedAvailability,TransDetFactorIrrigWaterAvailability,TransDetFactorLaborAvailability,TransDetFactorRainArrival,TransDetFactorSeedlingAge,OrgFertilizersGanaura,OrgFertilizersGhanajeevamrit,OrgFertilizersPoultryManure,OrgFertilizersPranamrit,OrgFertilizersVermiCompost,CropbasalFertsNPK,CropbasalFertsNPKS,CropbasalFertsOther,CropbasalFertsSSP,CropbasalFertsUrea,FirstTopDressFertNPKS,FirstTopDressFertOther,FirstTopDressFertSSP,FirstTopDressFertUrea
Jamui,Khaira,20.0,13.0,2022-07-24,4.0,Manual_PuddledLine,2022-07-03,2022-07-29,1.0,2.0,Boring,Diesel,200.0,2.0,1.0,2.0,SoilApplied,3.0,6.0,,Broadcasting,8.0,23.0,6.0,63.0,Broadcasting,hand,2022-12-02,500.0,2022-12-28,hand,22.0,10.0,plowed_in_soil,0.2727272727272727,False,False,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jamui,Khaira,25.0,25.0,2022-07-24,5.0,Manual_PuddledRandom,2022-07-08,2022-08-02,4.0,2.0,Canal,Electric,100.0,3.0,2.0,1.0,Spray,3.0,5.0,10.0,Broadcasting,7.0,23.0,8.0,65.0,Broadcasting,hand,2022-11-12,150.0,2022-12-20,machine,28.0,10.0,plowed_in_soil,0.2272727272727273,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,30.0,30.0,2022-07-07,5.0,Manual_PuddledRandom,2022-06-24,2022-07-08,2.0,4.0,Canal,placeholder,100.0,10.0,2.0,1.0,Broadcasting,2.0,9.0,18.0,Broadcasting,9.0,38.0,8.0,42.0,Broadcasting,hand,2022-11-24,1200.0,2022-12-05,machine,28.0,10.0,plowed_in_soil,0.28125,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,15.0,10.0,2022-07-04,5.0,Manual_PuddledRandom,2022-06-20,2022-07-10,2.0,2.0,Boring,Diesel,300.0,3.0,3.0,5.0,SoilApplied,2.0,15.0,40.0,SoilApplied,9.0,30.0,4.0,50.0,SoilApplied,hand,2022-10-15,300.0,2022-10-25,hand,30.0,10.0,plowed_in_soil,0.1363636363636364,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,30.0,10.0,2022-07-21,3.0,Manual_PuddledRandom,2022-06-24,2022-07-22,1.0,6.0,Boring,Electric,400.0,1.0,100.0,80.0,SoilApplied,2.0,20.0,15.0,Broadcasting,15.0,40.0,7.0,80.0,Broadcasting,machine,2022-11-20,150.0,2022-11-20,machine,26.0,40.0,plowed_in_soil,0.3125,True,False,True,True,True,False,False,True,True,True,False,True,False,False,placeholder,placeholder,placeholder,False,False,False,False,True,False,False,False,True
Gaya,Gurua,20.0,20.0,2022-07-27,6.0,Manual_PuddledRandom,2022-06-30,2022-08-03,2.0,4.0,Boring,Electric,100.0,3.0,1.0,1.0,Broadcasting,2.0,5.0,518.0,SoilApplied,5.0,35.0,3.0,97.0,Broadcasting,hand,2022-12-13,600.0,2023-01-13,machine,30.0,10.0,plowed_in_soil,0.1851851851851852,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,36.0,28.0,2022-06-25,5.0,Manual_PuddledRandom,2022-07-07,2022-07-26,2.0,6.0,Boring,Electric,150.0,5.0,92118.0,1.0,Broadcasting,2.0,22.0,15.0,Broadcasting,30.0,45.0,23.0,63.0,Broadcasting,hand,2022-12-03,1500.0,2022-12-30,hand,27.0,10.0,plowed_in_soil,0.46875,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Gaya,Gurua,12.0,12.0,2022-07-06,5.0,Manual_PuddledRandom,2022-06-24,2022-07-25,4.0,2.0,Boring,Electric,80.0,2.0,1.0,75.0,SoilApplied,2.0,4.0,50.0,SoilApplied,2.0,45.0,2.0,62.0,Broadcasting,hand,2022-12-19,120.0,2023-01-03,hand,28.0,10.0,plowed_in_soil,0.1481481481481481,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Vaishali,Garoul,15.0,15.0,2022-07-11,6.0,Manual_PuddledRandom,2022-06-18,2022-07-18,2.0,15.0,Boring,Diesel,1550.0,2.0,3.0,1500.0,SoilApplied,2.0,30.0,35.0,SoilApplied,38.0,15.0,15.0,30.0,Broadcasting,hand,2022-10-14,2000.0,2022-10-24,hand,27.0,10.0,plowed_in_soil,0.6818181818181818,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True
Vaishali,Mahua,2.0,2.0,2022-06-25,3.0,Manual_PuddledRandom,2022-06-28,2022-08-01,1.0,50.0,Boring,Electric,240.0,2.0,290.0,1.0,SoilApplied,2.0,4.0,4.0,Broadcasting,4.0,25.0,4.0,65.0,Broadcasting,hand,2022-11-01,200.0,2022-11-12,hand,30.0,10.0,plowed_in_soil,0.0909090909090909,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Nalanda,Noorsarai,12.0,12.0,2022-07-08,4.0,Manual_PuddledRandom,2022-06-22,2022-07-12,2.0,2.0,Boring,Electric,100.0,2.0,5.0,20.0,placeholder,2.0,5.0,5.0,Broadcasting,7.0,30.0,3.0,65.0,Broadcasting,hand,2022-10-31,250.0,2023-01-04,machine,23.0,10.0,plowed_in_soil,0.15625,True,False,True,False,True,False,False,True,True,False,False,True,placeholder,placeholder,placeholder,placeholder,placeholder,False,False,False,False,True,False,False,False,True
Gaya,Gurua,80.0,80.0,2022-07-20,5.0,Manual_PuddledRandom,2022-06-22,2022-07-21,1.0,12.0,Boring,Electric,300.0,4.0,3.0,6.0,SoilApplied,3.0,20.0,,Broadcasting,20.0,31.0,10.0,61.0,Broadcasting,hand,2022-11-11,120.0,2022-12-17,machine,29.0,10.0,plowed_in_soil,0.7407407407407407,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Nalanda,Rajgir,50.0,30.0,2022-07-06,5.0,Manual_PuddledRandom,2022-06-22,2022-07-14,2.0,5.0,Boring,Electric,150.0,5.0,1.0,1.0,SoilApplied,2.0,15.0,10.0,Broadcasting,15.0,45.0,5.0,7036.0,Broadcasting,hand,2022-12-08,900.0,2022-12-28,machine,25.0,10.0,plowed_in_soil,0.3125,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Vaishali,Mahua,16.0,6.0,2022-06-12,5.0,Manual_PuddledRandom,2022-06-14,2022-07-18,2.0,1.0,Boring,Diesel,200.0,1.0,0.3125,1.0,Broadcasting,3.0,2.0,4.0,Broadcasting,4.0,25.0,4.0,45.0,Broadcasting,hand,2022-10-25,400.0,2022-10-26,hand,30.0,10.0,plowed_in_soil,0.0909090909090909,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Jamui,Jamui,10.0,10.0,2022-06-25,2.0,Manual_PuddledRandom,2022-07-10,2022-08-02,4.0,9.0,Boring,Electric,3000.0,1.0,4.0,4.0,Broadcasting,2.0,10.0,10.0,Broadcasting,2.0,2.0,1000.0,2.0,Broadcasting,hand,2022-11-23,500.0,2023-01-18,machine,26.0,10.0,plowed_in_soil,0.4545454545454545,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Jamui,Khaira,30.0,19.0,2022-07-18,3.0,Manual_PuddledRandom,2022-06-28,2022-07-19,4.0,2.0,Canal,placeholder,250.0,12.0,,2.0,SoilApplied,1.0,10.0,15.0,Broadcasting,8.0,1.0,15.0,56.0,placeholder,hand,2022-11-23,100.0,2022-12-27,machine,26.0,10.0,plowed_in_soil,0.3636363636363636,False,False,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,placeholder,placeholder,placeholder,placeholder
